st a	Latitude	Longitude	Name
372	30.785600	106.106400	Gaoping District Monitoring Station, Nanchong
373	30.763600	106.064200	Jialing District EPB, Nanchong
374	30.821700	106.103100	Refinery Factory, Nanchong
375	30.802300	106.078900	City Committee, Nanchong
376	30.838800	106.108700	City Environmental Monitoring Station, Nanchong
377	30.806400	106.056000	Xishan scenic area, Nanchong
378	22.856100	108.316000	Beihu, Nanning
379	22.805000	108.383000	Daziran Garden, Nanning
380	22.846400	108.239000	District Agricultural Vocational College, Nanning
381	22.822500	108.321000	City Monitoring Station, Nanning
382	22.790600	108.439000	Xianhu, Nanning
383	22.735000	108.328000	Yinghua jiayuan, Nanning
384	22.787500	108.301000	Zhenning Garden, Nanning
385	41.159612	121.923678	Dingxiang, Panjin
386	41.155037	122.060968	BDA, Panjin
387	41.138824	122.105840	Xinglongtai, Panjin
388	41.160535	121.929739	xinsheng jiedao, Panjin, Panjin
389	26.585000	101.716900	Bingcaogang, Panzhihua
390	26.592800	101.576900	Hemenkou, Panzhihua
391	26.556900	101.847200	Jinjina, Panzhihua
392	26.570300	101.693900	Nongnongping, Panzhihua
393	26.501700	101.745300	Renhe, Panzhihua
394	33.721389	113.306389	High Voltage Switchgear Factory, Pingdingshan
395	33.736667	113.291667	City Planning Design Institute, Pingdingshan
396	33.773889	113.181944	Engineering College, Pingdingshan
397	33.739167	113.322500	Xinhua Hotel, Pingdingshan
398	23.627222	113.062222	Fupin district, Qingyuan
399	23.693600	113.042500	Environment protection office, Qingyuan
400	19.231700	110.460800	City Environmental Building Station, Qionghai
401	19.248880	110.468700	City People's Hospital, Qionghai
402	47.363617	123.930450	Anju Compound, Qiqihaer
403	47.183333	123.616667	Fuqu EPA, Qiqihaer
404	47.383333	123.983333	Farming Vehicule Factory, Qiqihaer
405	47.301569	123.950951	City Environmental Monitoring Station, Qiqihaer
406	47.383333	123.916667	City Center Square, Qiqihaer
407	24.942500	118.593889	Qingyuan Montain, Quanzhou
408	25.116667	103.541667	Environmental Monitoring Station, Qujing
409	25.534613	103.803392	Tobacco Factory office, Qujing
410	34.791667	111.185833	No.2 Printing Factory, Sanmenxia
411	34.799722	111.148889	Fengjing district, Sanmenxia
412	34.801389	111.198333	BDA, Sanmenxia
413	34.777222	111.192778	City government, Sanmenxia
414	18.249083	109.507700	Hedongzi Station, Sanya
415	18.268300	109.496315	Hexizi Station, Sanya
416	23.250000	116.603333	Chaoyangzi, Shantou
417	23.471389	116.751944	Chenghaizi, Shantou
418	23.277500	116.725833	Haojiangzi, Shantou
419	23.366667	116.679444	Jinpingzi, Shantou
420	23.363889	116.724444	Longhuzi, Shantou
421	24.810833	113.539722	Bihu shanzhuang, Shaoguan
422	24.686111	113.596389	Qujiang Monitoring Station, Shaoguan
423	24.793889	113.641388	Shaoguan University, Shaoguan
424	24.770833	113.578333	No.8 middle school, Shaoguan
425	24.799166	113.606944	Forest area, Shaoguan
426	41.692910	123.429526	bai ta, Shenyang, Shenyang
427	41.847200	123.428000	Beiling, Shenyang
428	41.821546	123.556557	Tanglin Road, Shenyang, Shenyang
429	41.708900	123.439000	Dongruan, Shenyang
430	41.780600	123.360600	Ermao, Shenyang
431	41.833300	123.642000	Huishan, Shenyang
432	41.752206	123.525957	hun nan dong lu, Shenyang, Shenyang
433	41.756100	123.535000	Hunnan, Shenyang
434	41.828300	123.355000	Liaoning University, Shenyang
